province,city,todayConfirm,nowConfirm,confirm,suspect,dead,heal,deadRate,healRate
江苏,宿迁,0,0,13,0,0,13,0.00,100.00
江苏,南通,0,0,40,0,0,40,0.00,100.00
江苏,苏州,0,0,87,0,0,87,0.00,100.00
江苏,南京,0,0,93,0,0,93,0.00,100.00
江苏,无锡,0,0,55,0,0,55,0.00,100.00
江苏,徐州,0,0,79,0,0,79,0.00,100.00
江苏,连云港,0,0,48,0,0,48,0.00,100.00
江苏,淮安,0,0,66,0,0,66,0.00,100.00
江苏,镇江,0,0,12,0,0,12,0.00,100.00
江苏,常州,0,0,51,0,0,51,0.00,100.00
江苏,扬州,0,0,23,0,0,23,0.00,100.00
江苏,盐城,0,0,27,0,0,27,0.00,100.00
江苏,泰州,0,0,37,0,0,37,0.00,100.00
青海,海北州,0,0,3,0,0,3,0.00,100.00
青海,西宁,0,0,15,0,0,15,0.00,100.00
安徽,境外输入,0,0,1,0,0,1,0.00,100.00
安徽,宣城,0,0,6,0,0,6,0.00,100.00
安徽,池州,0,0,17,0,0,17,0.00,100.00
安徽,亳州,0,0,108,0,0,108,0.00,100.00
安徽,六安,0,0,69,0,0,69,0.00,100.00
安徽,宿州,0,0,41,0,0,41,0.00,100.00
安徽,阜阳,0,0,155,0,0,155,0.00,100.00
安徽,滁州,0,0,13,0,0,13,0.00,100.00
安徽,黄山,0,0,9,0,0,9,0.00,100.00
安徽,安庆,0,0,83,0,0,83,0.00,100.00
安徽,铜陵,0,0,29,0,0,29,0.00,100.00
安徽,淮北,0,0,27,0,0,27,0.00,100.00
安徽,马鞍山,0,0,38,0,0,38,0.00,100.00
安徽,淮南,0,0,27,0,0,27,0.00,100.00
安徽,蚌埠,0,0,160,0,5,155,3.12,96.88
安徽,芜湖,0,0,34,0,0,34,0.00,100.00
安徽,合肥,0,0,174,0,1,173,0.57,99.43
西藏,拉萨,0,0,1,0,0,1,0.00,100.00
河南,漯河,0,0,36,0,0,36,0.00,100.00
河南,境外输入,0,0,3,0,0,3,0.00,100.00
河南,地区待确认,0,0,0,0,0,0,0.00,0.00
河南,周口,0,0,76,0,1,75,1.32,98.68
河南,南阳,0,0,156,0,3,153,1.92,98.08
河南,信阳,0,0,274,0,2,272,0.73,99.27
河南,郑州,0,0,157,0,5,152,3.18,96.82
河南,济源示范区,0,0,5,0,0,5,0.00,100.00
河南,安阳,0,0,53,0,0,53,0.00,100.00
河南,新乡,0,0,57,0,3,54,5.26,94.74
河南,许昌,0,0,39,0,1,38,2.56,97.44
河南,商丘,0,0,91,0,3,88,3.30,96.70
河南,驻马店,0,0,139,0,0,139,0.00,100.00
河南,焦作,0,0,32,0,1,31,3.12,96.88
河南,开封,0,0,26,0,0,26,0.00,100.00
河南,平顶山,0,0,58,0,1,57,1.72,98.28
河南,洛阳,0,0,31,0,1,30,3.23,96.77
河南,濮阳,0,0,17,0,0,17,0.00,100.00
河南,鹤壁,0,0,19,0,0,19,0.00,100.00
河南,三门峡,0,0,7,0,1,6,14.29,85.71
甘肃,境外输入,0,0,47,0,0,47,0.00,100.00
甘肃,兰州,0,0,37,0,2,35,5.41,94.59
甘肃,定西,0,0,9,0,0,9,0.00,100.00
甘肃,地区待确认,0,0,0,0,0,0,0.00,0.00
甘肃,平凉,0,0,9,0,0,9,0.00,100.00
甘肃,庆阳,0,0,3,0,0,3,0.00,100.00
甘肃,白银,0,0,4,0,0,4,0.00,100.00
甘肃,甘南州,0,0,8,0,0,8,0.00,100.00
甘肃,天水,0,0,12,0,0,12,0.00,100.00
甘肃,陇南,0,0,4,0,0,4,0.00,100.00
甘肃,临夏,0,0,3,0,0,3,0.00,100.00
甘肃,张掖,0,0,2,0,0,2,0.00,100.00
甘肃,金昌,0,0,1,0,0,1,0.00,100.00
宁夏,境外输入,0,0,3,0,0,3,0.00,100.00
宁夏,银川,0,0,34,0,0,34,0.00,100.00
宁夏,吴忠,0,0,28,0,0,28,0.00,100.00
宁夏,固原,0,0,5,0,0,5,0.00,100.00
宁夏,中卫,0,0,3,0,0,3,0.00,100.00
宁夏,石嘴山,0,0,1,0,0,1,0.00,100.00
宁夏,宁东管委会,0,0,1,0,0,1,0.00,100.00
江西,境外输入,0,0,2,0,0,2,0.00,100.00
江西,九江,0,0,118,0,0,118,0.00,100.00
江西,南昌,0,0,230,0,0,230,0.00,100.00
江西,上饶,0,0,123,0,0,123,0.00,100.00
江西,新余,0,0,130,0,0,130,0.00,100.00
江西,抚州,0,0,72,0,0,72,0.00,100.00
江西,吉安,0,0,22,0,0,22,0.00,100.00
江西,赣州,0,0,76,0,1,75,1.32,98.68
江西,萍乡,0,0,33,0,0,33,0.00,100.00
江西,宜春,0,0,106,0,0,106,0.00,100.00
江西,鹰潭,0,0,18,0,0,18,0.00,100.00
江西,景德镇,0,0,6,0,0,6,0.00,100.00
江西,赣江新区,0,0,1,0,0,1,0.00,100.00
广西,境外输入,0,0,2,0,0,2,0.00,100.00
广西,北海,0,0,44,0,1,43,2.27,97.73
广西,防城港,0,0,19,0,0,19,0.00,100.00
广西,来宾,0,0,11,0,0,11,0.00,100.00
广西,柳州,0,0,24,0,0,24,0.00,100.00
广西,南宁,0,0,55,0,0,55,0.00,100.00
广西,河池,0,0,28,0,1,27,3.57,96.43
广西,桂林,0,0,32,0,0,32,0.00,100.00
广西,玉林,0,0,11,0,0,11,0.00,100.00
广西,钦州,0,0,8,0,0,8,0.00,100.00
广西,贵港,0,0,8,0,0,8,0.00,100.00
广西,梧州,0,0,5,0,0,5,0.00,100.00
广西,百色,0,0,3,0,0,3,0.00,100.00
广西,贺州,0,0,4,0,0,4,0.00,100.00
新疆,兵团第九师,0,0,4,0,1,3,25.00,75.00
新疆,吐鲁番,0,0,3,0,0,3,0.00,100.00
新疆,乌鲁木齐,0,0,23,0,0,23,0.00,100.00
新疆,昌吉州,0,0,4,0,0,4,0.00,100.00
新疆,第八师石河子,0,0,4,0,1,3,25.00,75.00
新疆,兵团第四师,0,0,10,0,1,9,10.00,90.00
新疆,伊犁州,0,0,18,0,0,18,0.00,100.00
新疆,六师五家渠,0,0,2,0,0,2,0.00,100.00
新疆,兵团第十二师,0,0,3,0,0,3,0.00,100.00
新疆,巴州,0,0,3,0,0,3,0.00,100.00
新疆,第七师,0,0,1,0,0,1,0.00,100.00
新疆,阿克苏,0,0,1,0,0,1,0.00,100.00
湖南,境外输入,0,0,1,0,0,1,0.00,100.00
湖南,湘西自治州,0,0,8,0,0,8,0.00,100.00
湖南,娄底,0,0,76,0,0,76,0.00,100.00
湖南,怀化,0,0,40,0,0,40,0.00,100.00
湖南,永州,0,0,44,0,0,44,0.00,100.00
湖南,郴州,0,0,39,0,0,39,0.00,100.00
湖南,益阳,0,0,60,0,0,60,0.00,100.00
湖南,张家界,0,0,5,0,0,5,0.00,100.00
湖南,常德,0,0,82,0,0,82,0.00,100.00
湖南,岳阳,0,0,156,0,1,155,0.64,99.36
湖南,邵阳,0,0,102,0,1,101,0.98,99.02
湖南,湘潭,0,0,36,0,0,36,0.00,100.00
湖南,株洲,0,0,80,0,0,80,0.00,100.00
湖南,衡阳,0,0,48,0,0,48,0.00,100.00
湖南,长沙,0,0,242,0,2,240,0.83,99.17
海南,海口,0,0,39,0,0,39,0.00,100.00
海南,儋州,0,0,15,0,1,14,6.67,93.33
海南,三亚,0,0,54,0,1,53,1.85,98.15
海南,东方,0,0,3,0,1,2,33.33,66.67
海南,万宁,0,0,13,0,0,13,0.00,100.00
海南,澄迈县,0,0,9,0,1,8,11.11,88.89
海南,昌江县,0,0,7,0,0,7,0.00,100.00
海南,保亭,0,0,3,0,0,3,0.00,100.00
海南,琼海,0,0,6,0,1,5,16.67,83.33
海南,临高县,0,0,6,0,0,6,0.00,100.00
海南,陵水县,0,0,4,0,0,4,0.00,100.00
海南,乐东,0,0,2,0,0,2,0.00,100.00
海南,文昌,0,0,3,0,0,3,0.00,100.00
海南,定安县,0,0,3,0,1,2,33.33,66.67
海南,琼中县,0,0,1,0,0,1,0.00,100.00
